59,KRISHNA FABRICS,"45, NARAYAN IND.ESTATE, AANJANA FARM",24AAUFK1678G1ZY,
60,LC ENTERPRISE,"102, DADU MARKET, OPP. JAY MAHAVEER MARKET, TEMPO GALI",,
61,SIDDHSHREE SAREES,"305, MILLENNIUM MARKET-2,",,
62,B.MOHAN ENTERPRISE,"303, HARI OM MARKET",,
63,VIKRAM CREATION,"105, AASTHA TEXTILE TOWER",24AAQPJ7045B1ZU,
64,JHANVI FASHION,8114- AVADH TEXTILE MARKET,,
65,ARCHANA INTERNATIONAL,"1002, 1st FLOOR, PUJA TEXTILE MARKET,B/H SHREEJI TEXTILE MARKET",24APXPS3531G1ZJ,
66,SIDDHANT PRINT,"D-2004, NEW T.T TOWER",,
67,SANGEETA PRINTS,"517, HTC MARKET-1,",,
68,VIDHATA SILK MILLS,"H-14, UNDER GROUND, NEW T.T TOWER",,
69,DHANNA EXPORT,"J-1738, GLOBAL TEXTILE MARKET",,
70,SAURABH TEXTILE,"714, MILLENNIUM-2",24AAYPN9510A1ZN,
71,SUKANYA FASHION,"A-1078, RAGHUKUM MARKET",24CDXPS9070E1ZW,
72,AANYA KIRAN FABRIZONE,"526, HTC-2,",,
73,HARI OM SILK MILLS,"722, MILLENNIUM-2",24ARDPM3181C1Z7,
74,SAKSHI PRINTS,"3011 TO 3019, ANMOL MARKET",24ABEPM9879Q1ZL,
75,DIVY BHARTI TEX CO FAB,"L-1658, MILLENNIUM MARKET",24AAQFD9746A1ZC,
76,S. SANIA SUITS,"Y-56, LAXMINARAYAN IND. UDHNA",,
77,MAJISAA KRUPA FASION,"2047, T.T MARKET",24BFAPR7581H1Z7,
78,VIDHATA SILK CREATION,H-14 NEW T.T MARKET,,
79,DESIGN HOUSE,G-150 TO 158 LAXMINARAYAN IND.,,
80,SHREEJI FABRICS,"2296, GLOBAL TEXTILE MARKET",24IVYPS5707K1ZJ,
81,SHIV SAGAR SILK MILL,"B1-1015, REGENT MARKET",,
82,SHIVA TEXTILE,"D-65, ABHISHEK TEXTILE MARKET",24IBIPS7720C2ZJ,
83,GOURI FASHION,"221, ABHINANDAN MARKET",24CKCPS8171C1Z6,
84,SARTHI SILK,"716, MILLENNIUM-2",24BXIPR6785B1Z6,
85,MR FASHION,"C-4278, RAGHUKUL TEXTILE MARKET",24AHHPJ5345F1ZJ,
86,RITU TEXTILE,"1072, ABHISHEK MARKET",,
87,K D FABRICS,A-5068 GLOBAL TEXTILE MARKET,,
88,GTF FASHION,"B-2, 2021 REGENT MARKET",24ABEPG7779B1ZR,
89,H.P SAREES,"529, JASH MARKET",24AHCPM3282H1ZH,
90,RADHIKA FAHION,"54, SILK CITY MARKET",24AAZFR4926P1Z6,
91,MAHAVEER FASHION,"114 TO 119, ARIHANT MARKET",,
92,RIDDHI TRENDS,"PLOT NO.46, SHREE SURYAPUR IND, AHVINI KUMAR ROAD",24BCQPS7300M1Z1,
93,SHUBH SHREE TRENDZ,"319, 3rd FLLOR KOHINOOR HOUSE",24AEIFS2491D1Z3,
94,NAVDARSHAN FABRICS,X-1156 SURAT TEXTILE MARKET,24AFLPM1406Q1Z7,
95,BHAGYALAXMI SIL MILL,"4063, GOLWALA MARKET",,
96,POOJA PRINTS,"713, ABHISHEK MARKET",24ABOPA0966A1Z6,
97,BANSI SILK MILLS,"3161, AADARSH -1,",,
98,SIYARAM FASHION,"A-504, GROUND FLOOR, ASHIRWAD TEXTILE MARKET",24AEJFS5682R1Z2,
99,SANTOSH INTERNATIONAL ,"5034, SHREE MAHAVEER TEXTILE MARKET, SAROLI",24AAIPC1881B1ZA,
100,SHREE SALASAR TEXTILE,"C-1222, GLOBAL TEXTILE MARKET",24AGVPR4255K1ZP,
101,HRIDAY SILK MILLS,"5641 TO 5646, UPPER GROUND, GLOBAL TEXTILE MARKET,",24AAKFH5708G1ZG,
102,MONIKA SILK MILLS,"734, MILLENNIUM-2,",,
103,RADHEY PRINTS,"C-1298, LIFT NO.15, RAGHUKUL TEXTILE MARKET",24AAEHK6925Q1ZP,
104,LOVKUSH ENTERPRISE,"7181, MILLENNIUM-4",24AWSPB3993M1ZW,
105,KANAIYA TRADING,"A-523, RAJ TEXTILE TOWER",24AGTPR3898N3Z4,
106,MAROTHIA TEX,"610, MILLENNIUM -2",24ACUPM835K2ZU,
107,BHAGWATI CREATION,"3083, ADARSH MARKET-1,",24CIWPB5847A1ZA,
108,RARANI TEXTILE,"1060, GOLWALA MARKET",24AJFPK6447D1ZE,
109,KRISHNKRUPA SAREE,"14, GROUND FLOOR, MILLENNIUM 2",24BSZPA3378K1Z6,
110,SHREE MATESHWARI FASHION,"96, BASEMENT- ABHISHEK MARKET",24AXJPM6704P1ZV,
111,PADMAPATI FASHIONS,"106, HTC MARKET",,
112,VANSH TEXTILE,"1072 TO 1074, ANUPAM TEXTILE MARKET,",,
113,BAPA SITARAM PRINTS,"317, ABHINANDAN MARKET,",24AAMFB7174J1Z5,
114,VIVEK FASHION,"137, ASHOKA TOWER",,
115,SHREE SHYAM TEXTILE,"2093, MILLENNIUM-4",,
116,SARDA SIL MILL,"4080, SHIV SHAKTI MARKET",,
117,ADITYA PRINT,"730, ABHISHEK MARKET",24AAKHM3561Q2ZM,
118,RAHUL FABRICS,"1004, SOMESHWAR MARKET",24AARPC5539P1Z5,
119,L.D FAB,"523 TO 530, SILK PLAZA MARKET,",24AZIPG6480F1ZE,
120,SIDHI CREATION,"111, SHIV SHAKTI IND, NR. MILLENIUM 4",24B9FPG6749P1ZB,
121,ISHWAR INTERNATIONAL,"1001, SHIV SHAKTI MARKET",,
122,NIRAMALA SAREES,"5708, RAGHUKUL MARKET",,
123,BHAGWATI ENTERPRISE,"209,UPPER GROUND ANNAPURNA MARKET",24CNJPR1172C1Z7,
124,DIVYAM NX,Q 3246 STM,24ABEPM9639A1ZS,
125,VENKTESH ENTERPRISE,"I-3663 TO 3666, RKTM",24AAPFV3714M1ZQ,
126,SIDHI VINAYAK TEXTILE,"A-209, TIRUPATI MARKET",,
127,VANMAYI FASHION,"322, KOHINOOR TEXTILE HOUSE",24BGKPJ8500M1Z7,
128,RADHEY FAB,"3488, GLOBAL TEXTILE MARKET",24AAFHR3535Q1ZP,
